,basophil,eosinophil,erythroblast,ig,lymphocyte,monocyte,neutrophil,platelet
basophil,90,0,1,6,1,0,1,1
eosinophil,0,95,0,0,0,0,5,0
erythroblast,0,0,88,4,1,1,2,4
ig,2,0,1,86,1,5,5,0
lymphocyte,1,0,9,5,79,2,1,3
monocyte,0,0,0,10,4,84,2,0
neutrophil,0,0,0,1,0,2,97,0
platelet,0,0,1,1,0,1,1,96
